date,symbol,side,qty,reference,fill,notional,fees,reason
2006-01-03,SPY,buy,1.59642221,125.19000244140625,125.27763544311523,199.99599963767236,0.01,Monthly rebalance
2006-01-03,EFA,buy,3.30340662,60.5,60.54234999999999,199.99599978035698,0.0,Monthly rebalance
2006-01-03,IEF,buy,2.38805227,83.69000244140625,83.74858544311523,199.9959995767203,0.0,Monthly rebalance
2006-01-03,GLD,buy,3.82207108,52.290000915527344,52.32660391616821,199.99599954260128,0.0,Monthly rebalance
2006-01-03,VNQ,buy,3.33426935,59.939998626708984,59.98195662574768,199.9959995302599,0.0,Monthly rebalance
2006-02-01,IEF,sell,2.38805227,83.0,82.9419,198.06959257311303,0.03,Monthly rebalance
2006-02-01,GLD,sell,0.15409970629808,56.790000915527344,56.75024791488647,8.745196536027233,0.0,Monthly rebalance
2006-02-01,VNQ,sell,0.08712838794362865,64.1500015258789,64.10509652481079,5.5853737191774755,0.0,Monthly rebalance
2006-02-01,SPY,buy,0.03324527,127.81999969482422,127.90947369461058,4.252384988535226,0.0,Monthly rebalance
2006-03-01,VNQ,sell,0.08578394644276655,66.19999694824219,66.15365695037842,5.674921764824413,0.03,Monthly rebalance
2006-03-01,EFA,buy,0.02539612,62.869998931884766,62.91400793113708,1.597771695100109,0.0,Monthly rebalance
2006-03-01,GLD,buy,0.0678698,56.02000045776367,56.0592144580841,3.804727673427276,0.0,Monthly rebalance
2006-04-03,EFA,sell,0.03190999893758306,65.18000030517578,65.13437430496215,2.0784378148714797,0.03,Monthly rebalance
2006-04-03,GLD,sell,0.07000231692746661,58.619998931884766,58.578964932632445,4.100663268497089,0.0,Monthly rebalance
2006-04-03,SPY,buy,0.02245412,130.07000732421875,130.16105632934568,2.9226519781458875,0.0,Monthly rebalance
2006-05-01,EFA,sell,0.07304609803929907,68.69999694824219,68.65190695037842,5.014753925682179,0.03,Monthly rebalance
2006-05-01,GLD,sell,0.293758261338831,65.68000030517578,65.63402430496215,19.280536864496256,0.0,Monthly rebalance
2006-05-01,SPY,buy,0.03250799,131.47000122070312,131.56203022155762,4.276817162822093,0.0,Monthly rebalance
2006-05-01,VNQ,buy,0.19488274,65.98999786376953,66.03619086227417,12.869313814402952,0.0,Monthly rebalance
2006-06-01,EFA,buy,0.07847176,64.75,64.79532499999999,5.084603192522,0.01,Monthly rebalance
2006-06-01,GLD,buy,0.06838781,62.150001525878906,62.19350652694702,4.253277707598612,0.0,Monthly rebalance
2006-07-03,VNQ,sell,0.10877037250122301,66.72000122070312,66.67329721984864,7.252079374487693,0.03,Monthly rebalance
2006-07-03,SPY,buy,0.01568556,127.43000030517578,127.5192013053894,2.000210083227764,0.0,Monthly rebalance
2006-07-03,GLD,buy,0.05648389,61.959999084472656,62.00337108383178,3.502191591928335,0.0,Monthly rebalance
2006-08-01,GLD,sell,0.023784272957764863,62.91999816894531,62.87595417022705,1.495458856464594,0.03,Monthly rebalance
2006-08-01,VNQ,sell,0.06234004816561667,68.61000061035156,68.56197360992431,4.2741567371724205,0.0,Monthly rebalance
2006-08-01,SPY,buy,0.01580144,127.33999633789062,127.42913433532713,2.0135638204516115,0.0,Monthly rebalance
2006-08-01,EFA,buy,0.03401938,65.5,65.54585,2.229829178573,0.0,Monthly rebalance
2006-08-01,IEF,buy,2.69765172,80.94999694824219,81.00666194610595,218.52776093037127,0.0,Monthly rebalance
2006-09-01,SPY,sell,0.012697524130846238,131.13999938964844,131.0482013900757,1.6639876994544835,0.03,Monthly rebalance
2006-09-01,EFA,sell,0.042525098511348336,67.81999969482422,67.77252569503784,2.8820333315443705,0.0,Monthly rebalance
2006-09-01,VNQ,sell,0.06477192908719731,71.58999633789062,71.5398833404541,4.633776250634261,0.0,Monthly rebalance
2006-09-01,IEF,buy,0.01975214,82.1500015258789,82.20750652694701,1.6237741779711714,0.0,Monthly rebalance
2006-09-01,GLD,buy,0.12140047,61.95000076293945,61.993365763473506,7.5260237405675925,0.0,Monthly rebalance
2006-10-02,SPY,sell,0.02389465128416557,133.5399932861328,133.4465152908325,3.188657947961511,0.03,Monthly rebalance
2006-10-02,GLD,sell,3.594568492477858,59.79999923706055,59.758139237594605,214.80472447256236,0.0,Monthly rebalance
2006-11-01,SPY,sell,0.010103787592084856,138.22000122070312,138.12324721984862,1.3955679514383756,0.03,Monthly rebalance
2006-11-01,EFA,sell,0.040184271392795345,70.91999816894531,70.87035417022705,2.847873545679929,0.0,Monthly rebalance
2006-11-01,VNQ,sell,0.10484079289935977,76.5199966430664,76.46643264541626,8.016801428730929,0.0,Monthly rebalance
2006-11-01,IEF,buy,0.06134515,83.04000091552734,83.0981289161682,5.097667183081676,0.0,Monthly rebalance
2006-12-01,VNQ,sell,0.08121952394951037,80.19999694824219,80.14385695037842,6.509245908987394,0.03,Monthly rebalance
2006-12-01,IEF,buy,0.03204375,83.72000122070312,83.77860522155761,2.684580681068287,0.0,Monthly rebalance
